FID,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,zone_id_st,Shape_Le_1,Up_zone,Down_zone,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.919987370544000,8581_7010,0.014970522843100,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.000000000000000,0.014970522843100
1,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056000,7010_6916,0.005558582692480,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.000000000000000,0.005558582692480
2,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.558360425839000,6916_6959,0.009109967220650,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.000000000000000,0.009109967220650
3,4,2,4,1,4,1,4,5,1,3,5,417,FL-417 N,N,Freeway,0.345284698189000,6044_8581,0.005657107878210,6044,8581,E,2,45451,4,417,43569,45451,65,109,65.000000000000000,0.005657107878210
4,5,2,5,1,5,1,5,6,1,4,6,417,FL-417 N,N,Freeway,0.662737377642000,8287_8107,0.010471733382600,8287,8107,S,3,45451,6,0,76000,45451,70,0,70.000000000000000,0.010471733382600
5,6,2,6,1,6,1,6,7,1,5,7,417,FL-417 N,N,Freeway,0.488312764540000,8280_8017,0.007909476951480,8280,8017,E,2,45451,4,417,49278,45451,70,0,70.000000000000000,0.007909476951480
6,7,2,7,1,7,1,7,8,1,6,8,417,FL-417 N,N,Freeway,0.540099996322000,8107_8280,0.008847969303380,8107,8280,E,2,45451,4,417,48500,45451,70,0,70.000000000000000,0.008847969303380
7,8,2,8,1,8,1,8,9,1,7,9,417,FL-417 N,N,Freeway,1.363212225250000,6959_8287,0.021514935379400,6959,8287,E,2,45451,4,417,69500,45451,70,0,70.000000000000000,0.021514935379400
8,9,2,9,1,9,1,9,10,1,8,10,417,FL-417 N,N,Freeway,0.344507068990000,9178_7997,0.005657805025300,9178,7997,E,2,45451,4,417,49500,45451,70,0,70.000000000000000,0.005657805025300
9,10,2,10,1,10,1,10,11,1,9,11,417,FL-417 N,N,Freeway,1.048005544590000,8017_6167,0.017008943702000,8017,6167,S,2,45451,4,91,95000,45451,70,0,70.000000000000000,0.017008943702000
10,11,2,11,1,11,1,11,12,1,10,12,417,FL-417 N,N,Freeway,0.801375966599000,7997_8466,0.013146340575800,7997,8466,E,2,45451,4,417,49500,45451,70,0,70.000000000000000,0.013146340575800
