,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
0,82515.59282371296,63.97878974916515,4.937510573988962,0.07886690350454592,3.3130439785115127,3.4953962758727837,0.9668138438226616,40418.93827160494,61.04486596484816,6.260505291655964,0.1037414419718428,4.0025968805816,3.46610228044869,0.8309213167722282,8581_7010,29.0,24.0,5.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
1,40418.93827160494,61.04486596484816,6.260505291655964,0.1037414419718428,4.0025968805816,3.46610228044869,0.8309213167722282,40269.159937888195,62.432724904545076,8.097970588554544,0.13211545139335362,5.128214486073672,6.048369802654919,1.1020558407057572,7010_6916,15.0,14.0,1.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
2,40269.159937888195,62.432724904545076,8.097970588554544,0.13211545139335362,5.128214486073672,6.048369802654919,1.1020558407057572,40668.35294117647,71.45919705094887,7.197392919601391,0.10226127559953868,6.617264843041017,5.58433467333667,0.8288828949087528,6916_6959,8.0,4.0,4.0,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.5583604258389999,0.00910996722065,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.0,0.00910996722065
3,24239.030864197528,70.97693656487141,5.1220241811374585,0.07377042214342719,4.057231842552334,3.936278894030413,0.8982786893158161,82515.59282371296,63.97878974916515,4.937510573988962,0.07886690350454592,3.3130439785115127,3.4953962758727837,0.9668138438226616,6044_8581,1.0,1.0,0.0,4,2,4,1,4,1,4,5,1,3,5,417,FL-417 N,N,Freeway,0.345284698189,0.00565710787821,6044,8581,E,2,45451,4,417,43569,45451,65,109,65.0,0.00565710787821
4,40222.140575079866,68.22430482518448,4.140600591007185,0.06104691849989397,3.717838592480703,2.5763328180943192,0.6899963524266586,44950.688271604944,63.71852927840979,4.469927125042101,0.07100481920135601,4.426042451804012,3.5604731767794986,0.7805460561895599,8287_8107,20.0,12.0,8.0,5,2,5,1,5,1,5,6,1,4,6,417,FL-417 N,N,Freeway,0.662737377642,0.0104717333826,8287,8107,S,3,45451,6,0,76000,45451,70,0,70.0,0.0104717333826
5,42582.607142857145,65.86466509837348,4.631306996355562,0.07303929311862588,4.414818775162701,2.8717242591617214,0.6520915847555564,44862.70652173913,60.67597322072567,5.293698709045937,0.08743450728867683,4.412979453093962,2.668667035132203,0.6054324544620001,8280_8017,5.0,5.0,0.0,6,2,6,1,6,1,6,7,1,5,7,417,FL-417 N,N,Freeway,0.48831276454000005,0.00790947695148,8280,8017,E,2,45451,4,417,49278,45451,70,0,70.0,0.00790947695148
6,44950.688271604944,63.71852927840979,4.469927125042101,0.07100481920135601,4.426042451804012,3.5604731767794986,0.7805460561895599,42582.607142857145,65.86466509837348,4.631306996355562,0.07303929311862588,4.414818775162701,2.8717242591617214,0.6520915847555564,8107_8280,48.0,42.0,6.0,7,2,7,1,7,1,7,8,1,6,8,417,FL-417 N,N,Freeway,0.540099996322,0.008847969303379999,8107,8280,E,2,45451,4,417,48500,45451,70,0,70.0,0.008847969303379999
7,40668.35294117647,71.45919705094887,7.197392919601391,0.10226127559953868,6.617264843041017,5.58433467333667,0.8288828949087528,40222.140575079866,68.22430482518448,4.140600591007185,0.06104691849989397,3.717838592480703,2.5763328180943192,0.6899963524266586,6959_8287,30.0,26.0,4.0,8,2,8,1,8,1,8,9,1,7,9,417,FL-417 N,N,Freeway,1.36321222525,0.021514935379400003,6959,8287,E,2,45451,4,417,69500,45451,70,0,70.0,0.021514935379400003
8,42143.48222565688,69.07726734191465,2.5719349386190866,0.0373960829944916,2.9159633998572727,1.776332845668806,0.6075930448346093,42329.20775193798,67.61870699113558,2.6253108724373204,0.03905255264273445,2.679458400381082,1.6365546956377528,0.6025277116190212,9178_7997,22.0,20.0,2.0,9,2,9,1,9,1,9,10,1,8,10,417,FL-417 N,N,Freeway,0.34450706898999994,0.005657805025300001,9178,7997,E,2,45451,4,417,49500,45451,70,0,70.0,0.005657805025300001
9,44862.70652173913,60.67597322072567,5.293698709045937,0.08743450728867683,4.412979453093962,2.668667035132203,0.6054324544620001,38367.478125,63.64854489858412,4.15756914312933,0.06553947517960818,3.7271971870855496,2.3372696629564893,0.6263936922991109,8017_6167,30.0,26.0,4.0,10,2,10,1,10,1,10,11,1,9,11,417,FL-417 N,N,Freeway,1.04800554459,0.017008943702,8017,6167,S,2,45451,4,91,95000,45451,70,0,70.0,0.017008943702
