,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RouteId,Direction,Roadtype,Miles,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SpeedLimit,Shape_Le_2,RuralUrban,AvgVolume,AvgSpeed,StdSpeed,CoefOfVarSpeed,AvgOccupancy,StdOccupancy,CoefOfVarOccupancy,LogVolume,LogSegLength,LaneNumber
0,45176.279320987655,61.56143402381234,5.114329039983804,0.08464318543349231,3.7173879331625286,4.159691730987015,1.004469949838814,89479.45440494592,64.78677914067069,6.244999105733384,0.0986961936080198,5.4731648439935325,5.8643117006159775,0.9820722409692552,5905_6014,3.5,3.0,0.5,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,67327.8668629668,63.174106582241514,5.6796640728585945,0.09166968952075605,4.59527638857803,5.012001715801496,0.9932710954040347,11.117329499216071,-0.8500748911021124,1
1,47780.160883280754,65.50962654203491,5.224513242300155,0.0814183317763995,5.357685161074042,4.586754029764268,0.8115708338823779,47826.900928792566,62.64627696775037,5.197587752708399,0.08490920609488099,4.020814138122766,3.8191241284716586,0.8748331733743442,6011_8219,5.5,4.0,1.5,261,2,22,1,261,1,261,0,1,260,22,408,E West Expy E,E,Freeway,0.26447248069400003,0.0,6011,8219,E,2,65863,6,408,66500,65863,65,55,65.0,0.0042867675845,1,47803.530906036656,64.07795175489264,5.211050497504277,0.08316376893564024,4.689249649598404,4.2029390791179635,0.8432020036283611,10.774854784078544,-1.3300180758414062,1
2,40410.46655791192,68.99112266973928,3.115532460116057,0.04554068522515349,2.6562672399410663,2.2460428225519147,0.8172418815819463,40804.271317829465,66.50147146155778,3.06904464044952,0.046627462079053536,3.337084271033255,2.7299574119371246,0.7860404255476933,6068_8208,8.5,6.0,2.5,251,2,12,1,251,1,251,0,1,250,12,408,E West Expy E,E,Freeway,0.252460012189,0.0,6068,8208,E,2,65863,6,408,73500,65863,65,67,65.0,0.0041405043817800006,1,40607.36893787069,67.74629706564853,3.092288550282788,0.04608407365210351,2.9966757554871606,2.4880001172445194,0.8016411535648198,10.611704830053299,-1.376502410376507,1
3,58563.207109737246,71.57700255014619,3.2954631656361437,0.04655781481164476,4.025126158856645,3.072999539813301,0.7274303912011776,59244.518518518526,67.92873013568976,3.0043631529490717,0.04465948414698437,3.956406356365514,3.063546010869964,0.7410039298375475,6218_6235,3.0,2.0,1.0,281,2,42,1,281,1,281,0,1,280,42,408,E West Expy E,E,Freeway,0.120153933304,0.0,6218,6235,E,2,65863,8,408,128500,65863,65,102,65.0,0.00197655978496,1,58903.86281412789,69.75286634291797,3.1499131592926077,0.04560864947931456,3.99076625761108,3.0682727753416326,0.7342171605193626,10.983661950072051,-2.118981580722923,2
4,33617.821981424146,68.58160452964673,3.105923472559512,0.04564493484343154,5.508615250130607,3.914769907989275,0.7053576940241617,36775.548136645964,67.6711383603424,2.75228013871727,0.04200170400387319,3.6751247686923447,2.485525027532203,0.6734568925239265,6225_8114,1.0,0.5,0.5,240,2,1,1,240,1,240,0,1,239,1,408,E West Expy E,E,Freeway,0.262477307822,0.0,6225,8114,E,2,65863,4,408,51146,65863,55,90,55.0,0.00425177483443,1,35196.68505903505,68.12637144499456,2.929101805638391,0.04382331942365236,4.591870009411476,3.200147467760739,0.689407293274044,10.468707182692263,-1.3375906470795442,0
5,68651.03703703704,66.53922115890735,2.4977929546345563,0.037781904645850926,3.7711178994446164,2.567049702751175,0.6597723146040505,74237.71048513302,63.987814506192635,2.403667347349656,0.03780546855423427,3.1855649300422377,2.2058839146659,0.6694177531096421,6227_8355,12.5,9.5,3.0,274,2,35,1,274,1,274,0,1,273,35,408,E West Expy E,E,Freeway,0.3034056567,0.0,6227,8355,E,2,65863,10,408,137874,65863,55,154,55.0,0.00499103782101,1,71444.37376108504,65.26351783255,2.450730150992106,0.0377936866000426,3.478341414743427,2.3864668087085374,0.6645950338568463,11.17667443653587,-1.192684567877633,2
6,59244.518518518526,67.92873013568976,3.0043631529490717,0.04465948414698437,3.956406356365514,3.063546010869964,0.7410039298375475,64179.810185185175,66.64990304947838,2.8662100741728382,0.04335290449603935,3.7399060078824884,2.7128541447272743,0.6980169373035513,6235_6881,8.0,5.0,3.0,279,2,40,1,279,1,279,0,1,278,40,408,E West Expy E,E,Freeway,0.338968050653,0.0,6235,6881,E,2,65863,8,408,128500,65863,65,63,65.0,0.005576080111539999,1,61712.164351851854,67.28931659258407,2.935286613560955,0.04400619432151186,3.848156182124001,2.8882000777986194,0.7195104335705493,11.030236343651811,-1.0818494219044639,2
7,27293.597222222223,63.74076563051009,5.092758410626439,0.08723859164532627,5.893421791335363,4.360840930741257,0.723843046450985,29562.018604651163,63.4266233434939,3.2132814816224053,0.05126042495280412,4.032834394292571,2.678464960220285,0.6493518358217191,6269_8009,7.5,5.5,2.0,287,2,48,1,287,1,287,0,1,286,48,408,E West Expy E,E,Freeway,0.34751609822400004,0.0,6269,8009,E,2,65863,4,408,82794,65863,65,55,65.0,0.005716646731470001,1,28427.807913436693,63.58369448700199,4.153019946124422,0.06924950829906519,4.963128092813967,3.519652945480771,0.686597441136352,10.255123096974355,-1.0569442892258376,0
8,60445.77708978328,61.38580428861145,3.5608732198665667,0.05879828944592661,7.407780502129612,4.341824594191015,0.5785418003718443,69859.90247678019,62.03054599367931,2.2839414084649854,0.03716935662234275,4.330497266616476,2.6144401930210304,0.5915850560940306,6276_8307,5.0,4.0,1.0,267,2,28,1,267,1,267,0,1,266,28,408,E West Expy E,E,Freeway,0.198420056878,0.0,6276,8307,E,2,65863,6,408,93000,65863,55,148,55.0,0.00323042027528,1,65152.839783281735,61.70817514114538,2.922407314165776,0.047983823034134676,5.869138884373044,3.478132393606023,0.5850634282329374,11.084491169988029,-1.6173689961058506,1
9,45143.71955128205,59.32165587830202,3.647102820721505,0.06218580213211935,2.5323571876426167,2.2116463705600373,0.8219590778697295,45176.279320987655,61.56143402381234,5.114329039983804,0.08464318543349231,3.7173879331625286,4.159691730987015,1.004469949838814,6294_5905,3.5,2.5,1.0,250,2,11,1,250,1,250,0,1,249,11,408,E West Expy E,E,Freeway,0.327148275026,0.0,6294,5905,E,2,65863,6,408,66500,65863,65,63,65.0,0.00538212365509,1,45159.99943613485,60.44154495105718,4.380715930352655,0.07341449378280583,3.1248725604025727,3.1856690507735266,0.9132145138542718,10.717967005777655,-1.1173417704114532,1
