,day,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
0,0,79680.36559139784,63.921934469274674,5.265394036183335,0.08399974280780223,3.3922405440593333,3.803748286604912,1.0174620656513391,39622.085106382976,61.25994111174811,6.4991155887094685,0.10724080677716297,4.043313410828516,3.6432095864319516,0.8681939548283779,8581_7010,6.0,4.0,2.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
1,1,77324.35789473684,64.14356996375861,4.815287491430358,0.07665854624873791,3.16440327929896,3.4938625087175104,1.0192008224581075,38020.69791666666,61.69460274510581,6.0557141553983245,0.09895453744006637,3.8577856149866254,3.436705042599589,0.8636131984957861,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
2,2,80123.53191489361,63.65532639451219,5.993532929288191,0.09584164541820046,3.489045217774858,4.120203366254311,1.0959914302894966,39442.73684210527,61.110251764115475,7.075532000176464,0.11685192491729746,4.244164176807608,4.007124884619346,0.9204396887789732,8581_7010,8.0,8.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
3,3,82308.96629213484,63.26938448117213,7.013803942709307,0.11263256109505874,3.7586470621314447,4.752058949092079,1.1796483990768265,40497.444444444445,60.64658460393308,7.532715243540503,0.1252012237809668,4.411915956356413,4.223186351420678,0.9346741791678485,8581_7010,1.0,1.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
4,4,91721.9247311828,63.0699956425705,6.643244980332844,0.10780161579730634,4.003940581173043,4.3289262237300425,1.008841169459911,44748.32978723403,59.6897410223291,7.987800948028085,0.13547266591367893,4.8129789630128865,4.403549955708104,0.8940682062923442,8581_7010,9.0,7.0,2.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
5,5,87935.34065934065,64.91045701456106,2.1068620135748817,0.0326404548837393,2.763182505833369,1.8276314608829052,0.6537535440172726,41283.282608695656,61.33676576922193,3.9850497538760767,0.06548968602565823,3.3443936311909783,2.0488407603158643,0.5980309614934417,8581_7010,3.0,3.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
6,6,78453.97674418606,64.94288481421708,2.56562149087794,0.039882591875783684,2.5727742676104186,2.043564176833672,0.7785339583818306,39319.241379310355,61.59163423419344,4.562577314132026,0.07489262354917013,3.251627925272404,2.4190598972904174,0.7275426212753469,8581_7010,2.0,1.0,1.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
7,0,39622.085106382976,61.25994111174811,6.4991155887094685,0.10724080677716297,4.043313410828516,3.6432095864319516,0.8681939548283779,39470.731182795695,62.4805664787445,8.557830465047893,0.1387805872103022,5.163256303064621,6.3650095950135634,1.1715487101742237,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
8,1,38020.69791666666,61.69460274510581,6.0557141553983245,0.09895453744006637,3.8577856149866254,3.436705042599589,0.8636131984957861,38073.15789473683,62.75151260935033,8.208299179306287,0.132450698450645,4.9121412307375145,6.244171031473421,1.1975019919475052,7010_6916,3.0,3.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
9,2,39442.73684210527,61.110251764115475,7.075532000176464,0.11685192491729746,4.244164176807608,4.007124884619346,0.9204396887789732,39073.38947368421,62.0459008654442,9.803430490224423,0.15972512463315686,5.5058819347730745,7.330448691674786,1.2853606155372828,7010_6916,3.0,2.0,1.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
10,3,40497.444444444445,60.64658460393308,7.532715243540503,0.1252012237809668,4.411915956356413,4.223186351420678,0.9346741791678485,40240.45555555556,61.52953236889486,10.470498622253373,0.17195778916040594,5.8706968961149855,7.8741043476662815,1.302182074701859,7010_6916,2.0,2.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
11,4,44748.32978723403,59.6897410223291,7.987800948028085,0.13547266591367893,4.8129789630128865,4.403549955708104,0.8940682062923442,43698.77659574468,60.698447718694496,10.83196539520648,0.18137720558911674,6.437019558831737,7.864175085946817,1.1817206096009751,7010_6916,4.0,4.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
12,5,41283.282608695656,61.33676576922193,3.9850497538760767,0.06548968602565823,3.3443936311909783,2.0488407603158643,0.5980309614934417,41672.87912087912,63.86809390834024,3.6118464089854996,0.05726556492203415,3.960574910095055,2.821151294809988,0.6830469063057238,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
13,6,39319.241379310355,61.59163423419344,4.562577314132026,0.07489262354917013,3.251627925272404,2.4190598972904174,0.7275426212753469,39675.36046511628,63.77813176141325,4.870614660515831,0.07770032716374213,3.9397699549272884,3.592892670671518,0.8658440832298865,7010_6916,3.0,3.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
14,0,39470.731182795695,62.4805664787445,8.557830465047893,0.1387805872103022,5.163256303064621,6.3650095950135634,1.1715487101742237,39892.32978723404,71.5403473169317,7.406683257411852,0.10450399934319923,6.5773020235797635,5.697613550566485,0.8548567477569673,6916_6959,5.0,2.0,3.0,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.5583604258389999,0.00910996722065,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.0,0.00910996722065
15,1,38073.15789473683,62.75151260935033,8.208299179306287,0.132450698450645,4.9121412307375145,6.244171031473421,1.1975019919475052,38474.32291666666,71.64868286213554,7.194892082260601,0.1013446743158619,6.3135454730368386,5.605827520598622,0.8738031020991702,6916_6959,0.0,0.0,0.0,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.5583604258389999,0.00910996722065,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.0,0.00910996722065
16,2,39073.38947368421,62.0459008654442,9.803430490224423,0.15972512463315686,5.5058819347730745,7.330448691674786,1.2853606155372828,39376.126315789465,71.1004573412803,7.9606811814626015,0.11278403309399565,6.694747120690546,5.955823582066804,0.8793421504334821,6916_6959,1.0,1.0,0.0,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.5583604258389999,0.00910996722065,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.0,0.00910996722065
17,3,40240.45555555556,61.52953236889486,10.470498622253373,0.17195778916040594,5.8706968961149855,7.8741043476662815,1.302182074701859,40663.670454545456,70.57874228896054,8.712364550760642,0.12465898952111501,7.08188177221921,6.3804596266675855,0.8893467299487795,6916_6959,1.0,1.0,0.0,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.5583604258389999,0.00910996722065,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.0,0.00910996722065
