,day,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RouteId,Direction,Roadtype,Miles,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SpeedLimit,Shape_Le_2,RuralUrban,AvgVolume,AvgSpeed,StdSpeed,CoefOfVarSpeed,AvgOccupancy,StdOccupancy,CoefOfVarOccupancy,LogVolume,LogSegLength,LaneNumber
0,0,46281.882978723406,61.284067097368094,5.716356912676012,0.09423534920880178,3.9595137409667145,4.802686991658148,1.1421115420278007,93244.95698924732,64.43893091690411,7.206264414543699,0.11305153276717418,5.837510827775104,6.8920371704973125,1.1335854125541855,5905_6014,0.5,0.5,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,69763.41998398537,62.8614990071361,6.461310663609856,0.10364344098798797,4.898512284370909,5.84736208107773,1.1378484772909931,11.152865082380966,-0.8500748911021124,1
1,1,48103.26041666666,60.50575728546798,7.049895072673628,0.11820011956437948,4.490291009341732,6.063873300812187,1.2597931522894663,93099.3125,63.54929033844487,8.51058071566216,0.13594794322969708,6.427513461115191,7.983855377643416,1.1928943782268384,5905_6014,2.0,1.5,0.5,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,70601.28645833333,62.02752381195643,7.780237894167894,0.12707403139703827,5.458902235228461,7.023864339227801,1.2263437652581524,11.164803645104742,-0.8500748911021124,1
2,2,49037.15789473683,60.508736080130866,6.876983283514688,0.11493180243137956,4.440175462570293,5.665918939230869,1.2163473370705449,97453.95789473684,63.386927385973365,8.579007458558236,0.1373728392742441,6.5856127272054685,7.9356085663167635,1.161762546538679,5905_6014,0.5,0.5,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,73245.55789473683,61.94783173305211,7.727995371036462,0.12615232085281183,5.512894094887881,6.8007637527738165,1.189054941804612,11.201572881965182,-0.8500748911021124,1
3,3,49209.62222222221,60.58143294384062,6.765053931629715,0.11296109609040995,4.4504853373162225,5.577279870287208,1.1883749976494442,94481.04444444443,63.523552249387606,8.440482233520354,0.13460110106214948,6.558335040628982,7.764280877196947,1.1418529447834571,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,71845.33333333331,62.052492596614115,7.602768082575034,0.12378109857627972,5.504410188972603,6.670780373742078,1.1651139712164507,11.18227093927024,-0.8500748911021124,1
4,4,51460.765957446805,61.48504460995088,4.609279830676125,0.07594607883565277,4.077095931232021,3.872660748127148,0.9067947796919756,100902.59574468085,64.51496436673898,6.1748202591064345,0.09735337770988983,6.132020479037787,5.930814746230799,0.9304294726122222,5905_6014,0.5,0.5,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,76181.68085106382,63.00000448834493,5.392050044891279,0.0866497282727713,5.104558205134904,4.901737747178974,0.918612126152099,11.240876303993225,-0.8500748911021124,1
5,5,39700.3152173913,63.23159243746978,2.2324422818478094,0.03555786846591392,2.554102204621805,1.6038640045582682,0.6191158019580019,80212.69565217392,66.94828528434164,2.232459590638511,0.033705346152933593,3.7558293840850574,2.3095073775941812,0.6123285872053387,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,59956.50543478261,65.0899388609057,2.2324509362431604,0.03463160730942376,3.1549657943534313,1.9566856910762247,0.6157221945816702,11.001374668910067,-0.8500748911021124,1
6,6,31364.16091954023,63.5056856405999,2.2888790959444525,0.03618591573059569,1.896786005494105,1.2654338079270817,0.6654458625725971,65035.17241379309,67.36743627018278,2.2166389181466166,0.03304613781085649,2.7974513069789237,1.8869050523717463,0.6727658486168572,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,48199.66666666666,65.43656095539134,2.2527590070455346,0.03461602677072609,2.3471186562365145,1.576169430149414,0.6691058555947271,10.783107384385456,-0.8500748911021124,1
7,0,49493.82417582418,65.44741019564874,5.216903800531696,0.08026743216710211,5.534263607225953,4.987193746260991,0.8816713911853844,49329.967741935485,62.60072003236123,4.883869339301299,0.07880676154688825,4.079417607712683,3.856085982323612,0.9130312984054644,6011_8219,1.0,0.5,0.5,261,2,22,1,261,1,261,0,1,260,22,408,E West Expy E,E,Freeway,0.26447248069400003,0.0,6011,8219,E,2,65863,6,408,66500,65863,65,55,65.0,0.0042867675845,1,49411.89595887983,64.02406511400498,5.050386569916498,0.07953709685699517,4.806840607469319,4.421639864292302,0.8973513447954244,10.807946483070415,-1.3300180758414062,1
8,1,50824.968085106375,64.43868515461904,6.615109332545524,0.10379812983498336,6.078728607148441,5.738834233327661,0.9271496668161948,51315.38947368421,61.501869100044956,6.7699209822329465,0.11168499970814366,4.640386588878664,5.008604620420144,1.0381574831065028,6011_8219,1.0,1.0,0.0,261,2,22,1,261,1,261,0,1,260,22,408,E West Expy E,E,Freeway,0.26447248069400003,0.0,6011,8219,E,2,65863,6,408,66500,65863,65,55,65.0,0.0042867675845,1,51070.1787793953,62.970277127332,6.692515157389235,0.10774156477156352,5.359557598013552,5.373719426873903,0.9826535749613488,10.840956020309056,-1.3300180758414062,1
9,2,52421.91397849462,64.05595374364884,7.0965106271011065,0.1122089066886906,6.35677288989652,6.00564126694443,0.9254452715228554,51857.852631578935,61.32108204825585,7.133966061753294,0.1179615289209851,4.830354921761623,5.142518910745427,1.0239542736345564,6011_8219,1.0,1.0,0.0,261,2,22,1,261,1,261,0,1,260,22,408,E West Expy E,E,Freeway,0.26447248069400003,0.0,6011,8219,E,2,65863,6,408,66500,65863,65,55,65.0,0.0042867675845,1,52139.883305036776,62.688517895952344,7.1152383444272,0.11508521780483785,5.593563905829072,5.574080088844928,0.9746997725787059,10.861685449376756,-1.3300180758414062,1
