,hour,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
0,0,1189.8091106290672,64.94314829429611,1.5571197864110715,0.024001832598906973,0.8253003930308322,0.2917537273870321,0.3630420400011887,572.4206008583691,64.95443367454286,2.3692204819222304,0.03664205982225546,1.4047543943253666,0.4239657653903999,0.3041116684825223,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
1,1,626.9674620390456,64.83655270918615,2.0589058643867384,0.03178122933072621,0.4035815605736538,0.20047614404916408,0.6025968327938753,288.75321888412014,65.60290986164134,2.8408825091235594,0.043445191199916716,0.8319132240354495,0.3297997862163778,0.4089780831318105,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
2,2,417.2668112798265,64.90368894483557,2.4637869290638523,0.037967312592892606,0.30695130231919704,0.1883591751977089,0.8835011462740404,186.51502145922746,65.92589769984495,3.323774126369284,0.050556512425331705,0.6922250090453108,0.33498526807736123,0.5009717124506669,8581_7010,2.0,2.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
3,3,419.08676789587855,65.07620838824687,2.309813464512932,0.035499325327760387,0.3454681441375857,0.20099211723559685,0.7967928389236278,194.4678111587983,64.9952112017489,3.2016576854871133,0.04946879271540945,0.7339997369211899,0.3391104043225442,0.4750166685542413,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
4,4,719.7375271149673,65.53994848926152,1.7162169889700123,0.026212915222962964,0.5163167724445655,0.22566386872252084,0.5011889761872169,356.1909871244635,64.65292461994942,2.580146358807396,0.040065647031995236,0.9832290650092662,0.3444988602700415,0.3584012762340125,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
5,5,1436.5921908893708,66.27228757978568,1.3178294228578442,0.019911306692209647,1.163714929893353,0.39668021502443657,0.3536600239904849,702.0793991416309,65.05241322715875,1.9949555435488224,0.03074412347421948,1.8074941744551862,0.5141511607662239,0.28707756547468,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
6,6,2677.8008658008653,66.32418497877114,1.116943183964339,0.016878694117889188,2.2510234141236936,0.4182112416581589,0.1919397643886654,1308.4860813704495,64.44679019113357,1.6929280062526706,0.02628575056001884,3.1201133691899865,0.5749121801327892,0.1858103413990067,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
7,7,3625.588744588745,65.95123805317428,1.036753867775308,0.015743131653190617,3.0654744447738893,0.5258424213734262,0.17293965882527734,1784.5610278372592,63.521968089528464,1.6335510351534688,0.025744033861402383,3.971510284282265,0.659739351675948,0.16748185071174626,8581_7010,4.0,4.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
8,8,4142.030368763558,65.36666316521705,0.9543885192289224,0.014607113473620715,3.5299138590283623,0.4290712112444048,0.12492509652494005,2010.9141630901288,62.4233362936438,1.497284617064805,0.023988764460224837,4.173196585519924,0.5447699077317367,0.1328181042804521,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
9,9,4479.542299349241,64.36069505446125,0.9137567193401832,0.014239590224499016,3.966924440813964,0.4780494623508042,0.1235463414103021,2159.9763948497853,60.668867253362706,1.4096735738169817,0.023339088311883503,4.417568670088179,0.5689939529612624,0.13051960717455624,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
