,hour,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
0,0,1911.853107344633,65.0228025396032,1.2992140779636194,0.02001373366060213,1.318909713920133,0.41143742031948577,0.31357879872539945,919.4525139664804,63.90162931718362,2.198581633458329,0.03461591225322209,1.977142005053797,0.5119147610185001,0.2579708990929137,8581_7010,1.0,1.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
1,1,980.4519774011301,65.21409808400537,1.7394172817596634,0.026692362250313583,0.5668564413560194,0.2486559879016501,0.46100880354420404,460.53631284916196,65.30710676936609,2.442164275514729,0.03754197415960342,1.034624917086702,0.34198777789077633,0.3328251088960977,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
2,2,601.16,65.07603273357968,2.119872619875542,0.03259711757582538,0.2967151884227293,0.1758872208751763,0.7354602575952072,271.66101694915255,65.70949104869362,3.0301448608314776,0.046220650740684835,0.6572220850762122,0.2755153462797984,0.4272663488202481,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
3,3,483.0,64.85008278867086,2.255558242570689,0.034800968658857505,0.25867492016446464,0.15570850427615832,0.8462370548702247,218.73184357541902,64.55154364366386,3.206316319242277,0.04972435513561284,0.5988137247287344,0.26492913071644103,0.4569913171180939,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
4,4,642.7175141242938,65.1148640567426,1.814841706056184,0.02790978892167233,0.3207139266812221,0.1714578413485192,0.7142189191171764,307.46927374301674,63.52523824800817,2.7172228382663746,0.04279235284312263,0.6678121437408611,0.25116053088425744,0.3833301150762285,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
5,5,870.8926553672318,65.66508402866614,1.504158890479114,0.022923636654173792,0.4829748252900399,0.20123948874040226,0.4685310656128953,416.38547486033514,63.92621218077277,2.3483866931359105,0.03684125649043669,0.8836210328171493,0.26794250821243204,0.308773702639538,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
6,6,1259.5536723163839,65.89235735642863,1.371801380749866,0.02085114545589004,0.8207555757879021,0.2701317126221049,0.3515253232801888,618.4301675977654,63.967162712185704,2.107695894623744,0.033093182608439534,1.2743460279697458,0.3284793121889915,0.261993114743244,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
7,7,1766.1186440677966,66.41936640301877,1.1685334184673708,0.017612797816109402,1.2224763649967207,0.31171946491108765,0.263018581713024,882.9832402234638,63.93101667183843,1.8392607544266275,0.02887837148866098,1.6948619979765662,0.3582229134936009,0.21351917047259028,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
8,8,2406.90395480226,66.26598205505316,1.0178922039307348,0.015395478419836182,1.7529990660733847,0.3755976093807787,0.21934176155298196,1210.3743016759774,63.2593396310464,1.5646424631988674,0.024857742696057637,2.162457301033732,0.4093722975332389,0.1933831005395266,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
9,9,3370.8757062146888,65.58542436571054,0.9798279571673504,0.014958636134154631,2.5871181998999755,0.5178416946540078,0.20353152151776735,1693.8659217877093,61.72808326342495,1.5482420923978597,0.025366176940666414,2.9768061361305427,0.5691203652697336,0.19051117537427667,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
10,10,5139.412429378531,64.31652039900439,1.0377732605831125,0.01638887632634022,4.074898335370754,0.6503897262203268,0.15894898911974653,2504.2011173184355,58.57713404352887,2.19040737043227,0.038787555474427436,4.637764148179448,0.9755112783209235,0.19152101018054105,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
11,11,6013.491525423729,63.62791749426831,1.4832927487616203,0.02566332038706757,4.950696104506495,0.7191127519614684,0.1269569147874779,2888.5754189944128,56.39151732350787,2.551840904742793,0.05007777622554819,5.937344351025717,1.1001755552679455,0.15677786874528676,8581_7010,2.0,1.0,1.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
12,12,5554.858757062148,64.69822420733253,1.269814165873253,0.02044879686673549,4.35785946052356,0.579902759699903,0.12522444679429115,2648.178770949721,58.88330198752386,2.3089965101952465,0.04188049656950744,4.979001754336159,0.9217330669655832,0.15925249975565428,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
13,13,5318.039548022599,65.30911127080097,1.0510054070497417,0.016342462440878083,4.092039046926794,0.4548430735855092,0.10967889470788156,2539.921787709497,60.4241918186848,1.5053898553228495,0.025428102185064756,4.50525469263719,0.5259594109037113,0.11556820296877995,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
14,14,5500.192090395481,65.44953951498327,1.1220127691155235,0.018046054278295892,4.249659970705167,0.5042502983496131,0.11220134394555556,2622.558659217877,60.5694780457666,1.7099875244943654,0.029116053564561917,4.729367548561351,0.6697068424529067,0.13157437625688204,8581_7010,1.0,1.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
15,15,5852.790960451977,65.23899435141618,1.2377977937190583,0.020359360731509568,4.57871492531826,0.571528523561186,0.11594493700024965,2811.245810055866,60.09019895715218,1.9304588016924276,0.03399697300947053,5.184028008056084,0.7331430423283832,0.13248099443086964,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
16,16,6148.169491525424,64.37327463475398,1.8279616270248609,0.032151407022848084,5.033728924095163,0.7959818725820336,0.1351141258953551,2972.541899441341,58.92211624314341,2.634168038902041,0.049678116138948035,5.8847661341421285,1.0808276492809228,0.1580582490547463,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
17,17,6163.0451977401135,63.40164298163018,2.095002255881417,0.039626332454291084,5.37116634178038,0.9612337161512212,0.1387174636381097,3032.1005586592173,57.152143620273044,2.7809335569632663,0.055119888909625665,6.555788602326764,1.2764464278270276,0.16741345313613107,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
18,18,5452.819209039548,64.09630966586919,1.4489466130046258,0.025863900733288658,4.457299114676767,0.6675748612262404,0.13607881386579335,2671.7988826815645,58.40038887763749,2.630231125458548,0.04976627566128048,5.452649856154988,1.063647973665107,0.1714021573431686,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
19,19,4643.74011299435,64.5306560540924,1.1244063783115228,0.017615652986912308,3.536949248097166,0.5060964640186174,0.14412159019601908,2241.754189944134,59.789373529192225,1.9643879841692504,0.03375891800708191,4.335492873947072,0.7075045030205951,0.15480799984172314,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
