,hour,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RouteId,Direction,Roadtype,Miles,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SpeedLimit,Shape_Le_2,RuralUrban,AvgVolume,AvgSpeed,StdSpeed,CoefOfVarSpeed,AvgOccupancy,StdOccupancy,CoefOfVarOccupancy,LogVolume,LogSegLength,LaneNumber
0,0,643.8715083798883,62.216648505756105,1.7201794193004982,0.031581332548033414,1.0434723020296892,0.3957806595422347,0.31210807227047344,1359.5418994413408,66.20274244946036,1.721288781356436,0.03066378572452003,1.3677755774124494,0.4771740811189412,0.3127625576897735,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,1001.7067039106146,64.20969547760824,1.720734100328467,0.03112255913627672,1.2056239397210693,0.436477370330588,0.31243531498012345,6.909460528128632,-0.8500748911021124,1
1,1,388.5754189944134,61.89511331509296,1.9335321309716,0.03163378367651118,0.5223474485517265,0.2324424667177772,0.4004187955442816,834.3519553072625,65.77670508805285,1.9167289229533844,0.03077386747115136,0.7125403060109765,0.26661753938147903,0.3825038915203745,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,611.4636871508379,63.8359092015729,1.925130526962492,0.03120382557383127,0.6174438772813515,0.24953000304962814,0.3914613435323281,6.415855570127404,-0.8500748911021124,1
2,2,287.35593220338984,61.663624637817364,2.2361717586440957,0.036477381372648686,0.3973143264307162,0.2167806012093524,0.4927119836694082,609.8022598870058,65.69846456587986,2.249104294907973,0.035222919736438374,0.5024008942511768,0.2463047179989915,0.5276476363142867,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,448.57909604519784,63.68104460184861,2.242638026776034,0.03585015055454353,0.4498576103409465,0.23154265960417197,0.5101798099918474,6.10608502279529,-0.8500748911021124,1
3,3,240.413407821229,61.44555858708421,2.317774112946484,0.038042569358346434,0.34913501595743623,0.1877437933552904,0.541145057844848,499.2793296089386,65.69441212289672,2.3741398556594904,0.036708238361888086,0.4247018719434923,0.23419262460824825,0.6434299793658951,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,369.8463687150838,63.569985354990465,2.3459569843029873,0.03737540386011726,0.38691844395046426,0.21096820898176932,0.5922875186053715,5.913087699721743,-0.8500748911021124,1
4,4,237.65921787709496,61.77889442920513,2.5369464073866697,0.04128019370648475,0.3669792641177786,0.2030240372177911,0.5474590046584982,491.8212290502793,66.03491859242557,2.399213167558636,0.0364399516522512,0.4302934611942992,0.2293822065544686,0.6877312597102366,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,364.74022346368713,63.90690651081535,2.4680797874726528,0.038860072679367974,0.39863636265603886,0.21620312188612983,0.6175951321843673,5.899185383654197,-0.8500748911021124,1
5,5,405.122905027933,63.08305684211629,2.0135780158974868,0.03199999346741692,0.5207277024537734,0.2143351510088564,0.4355200078562489,812.2849162011172,67.1977440713125,1.8991437794471195,0.02835146490529038,0.729677185787521,0.3233541896440649,0.4831291642350907,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,608.7039106145251,65.14040045671439,1.9563608976723033,0.030175729186353653,0.6252024441206472,0.26884467032646064,0.45932458604566984,6.4113319600143575,-0.8500748911021124,1
6,6,869.7932960893854,63.82563249472054,1.5005814386075724,0.02360844155418265,1.181587627257478,0.32907313425634993,0.2824611266728521,1738.6536312849164,67.84696513914389,1.399385240321446,0.020684481576331355,1.7491982502806518,0.5163982854121274,0.3033442760837621,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,1304.2234636871508,65.83629881693221,1.4499833394645092,0.022146461565257,1.4653929387690647,0.4227357098342387,0.2929027013783071,7.173363095663048,-0.8500748911021124,1
7,7,1133.6256983240226,64.08468527045349,1.314042851793746,0.02057809727429577,1.6119800371667798,0.34206242589691216,0.22343082555479396,2271.966480446928,68.0856665293118,1.2355402034337055,0.018211311347731258,2.4053126187902736,0.5144845152963613,0.2299778185237253,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,1702.7960893854752,66.08517589988264,1.2747915276137256,0.019394704311013512,2.0086463279785267,0.42827347059663673,0.22670432203925964,7.440026937372475,-0.8500748911021124,1
8,8,1533.558659217877,64.49581520461429,1.1475527762026043,0.01796962088967996,2.2518644191562087,0.4419030480325021,0.20060406203067788,3080.307262569833,68.51037322392075,1.0151030551231734,0.014878167063382209,3.3240377794148768,0.6108690351223065,0.19246167696885536,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,2306.932960893855,66.50309421426752,1.081327915662889,0.016423893976531084,2.787951099285543,0.5263860415774043,0.19653286949976662,7.743674198754504,-0.8500748911021124,1
9,9,1954.1508379888267,64.45674357119114,0.8981528277316145,0.01406578446069945,2.951047067647667,0.5460415121652052,0.18888603406520385,3945.7150837988825,68.2770863602567,0.8724800524567186,0.01281828181752342,4.32100284104474,0.7605325673977348,0.18294143564048634,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,2949.9329608938547,66.36691496572392,0.8853164400941665,0.013442033139111435,3.6360249543462033,0.6532870397814701,0.1859137348528451,7.989537723954919,-0.8500748911021124,1
