OriginalName,StandardName
Tmc,Tmc
FirstName,FirstName
Zip,Zip
Direction,Direction
StartLat,StartLat
StartLong,StartLong
EndLat,EndLat
EndLong,EndLong
Miles,Miles
F_System,F_System
Urban_Code,Urban_Code
FacilType,FacilType
ThruLanes,ThruLanes
AADT,AADT
DetectorId,DetectorId
zone_id_st,SegmentId
SegmentType,SegmentType
LaneWidth,LaneWidth
MedianType,MedianType
MedianWidth,MedianWidth
ShoulderType,ShoulderType
RightShoulderWidth,RightShoulderWidth
LeftShoulderWidth,LeftShoulderWidth
PeakParking,PeakParking
CurveClassification,CurveClassification
TerrainType,TerrainType
GradeClassification,GradeClassification
SpeedLimit,SpeedLimit
IRI,IRI
Sequence,Sequence
Up_zone,UpStationId
Down_zone,DownStationId
InternalExternal,InternalExternal
RouteId,RouteId
Timestamp,Timestamp
zone_id,StationId
volume,Volume
occupancy,Occupancy
speed,Speed
